gss_code,Local_Authority,Band_D
E09000002,Barking & Dagenham,2098.14
E09000003,Barnet,2035.52
E09000004,Bexley,2258.03
E09000005,Brent,2133.15
E09000006,Bromley,2042.46
E09000007,Camden,2106.69
E09000008,Croydon,2480.48
E09000009,Ealing,2041.02
E09000010,Enfield,2164.02
E09000011,Greenwich,2011.81
E09000012,Hackney,1966.51
E09000013,Hammersmith & Fulham,1451.42
E09000014,Haringey,2207.94
E09000015,Harrow,2395.86
E09000016,Havering,2313.55
E09000017,Hillingdon,1952.38
E09000018,Hounslow,2085.82
E09000019,Islington,2012.1
E09000020,Kensington & Chelsea,1591.59
E09000021,Kingston-upon-Thames,2489.34
E09000022,Lambeth,1953.95
E09000023,Lewisham,2135.13
E09000024,Merton,2094.43
E09000025,Newham,1855.96
E09000026,Redbridge,2189.67
E09000027,Richmond-upon-Thames,2372.07
E09000028,Southwark,1877.9
E09000029,Sutton,2269.72
E09000030,Tower Hamlets,1754.57
E09000031,Waltham Forest,2277.65
E09000032,Wandsworth,997.75
E09000033,Westminster,1019.0
