Code,Local authority,Band A,Band B,Band C,Band D,Band E,Band F,Band G,Band H
,,,,,,,,,
E09000001,City of London,849 ,991 ,"1,133 ","1,274 ","1,557 ","1,840 ","2,123 ","2,548 "
E09000002,Barking & Dagenham,"1,399 ","1,632 ","1,865 ","2,098 ","2,564 ","3,031 ","3,497 ","4,196 "
E09000003,Barnet,"1,357 ","1,583 ","1,809 ","2,036 ","2,488 ","2,940 ","3,393 ","4,071 "
E09000004,Bexley,"1,505 ","1,756 ","2,007 ","2,258 ","2,760 ","3,262 ","3,763 ","4,516 "
E09000005,Brent,"1,422 ","1,659 ","1,896 ","2,133 ","2,607 ","3,081 ","3,555 ","4,266 "
E09000006,Bromley,"1,362 ","1,589 ","1,816 ","2,042 ","2,496 ","2,950 ","3,404 ","4,085 "
E09000007,Camden,"1,404 ","1,639 ","1,873 ","2,107 ","2,575 ","3,043 ","3,511 ","4,213 "
E09000008,Croydon,"1,654 ","1,929 ","2,205 ","2,480 ","3,032 ","3,583 ","4,134 ","4,961 "
E09000009,Ealing,"1,361 ","1,587 ","1,814 ","2,041 ","2,495 ","2,948 ","3,402 ","4,082 "
E09000010,Enfield,"1,443 ","1,683 ","1,924 ","2,164 ","2,645 ","3,126 ","3,607 ","4,328 "
E09000011,Greenwich,"1,341 ","1,565 ","1,788 ","2,012 ","2,459 ","2,906 ","3,353 ","4,024 "
E09000012,Hackney,"1,311 ","1,530 ","1,748 ","1,967 ","2,404 ","2,841 ","3,278 ","3,933 "
E09000013,Hammersmith & Fulham,968 ,"1,129 ","1,290 ","1,451 ","1,774 ","2,096 ","2,419 ","2,903 "
E09000014,Haringey,"1,472 ","1,717 ","1,963 ","2,208 ","2,699 ","3,189 ","3,680 ","4,416 "
E09000015,Harrow,"1,597 ","1,863 ","2,130 ","2,396 ","2,928 ","3,461 ","3,993 ","4,792 "
E09000016,Havering,"1,542 ","1,799 ","2,056 ","2,314 ","2,828 ","3,342 ","3,856 ","4,627 "
E09000017,Hillingdon,"1,302 ","1,519 ","1,735 ","1,952 ","2,386 ","2,820 ","3,254 ","3,905 "
E09000018,Hounslow,"1,391 ","1,622 ","1,854 ","2,086 ","2,549 ","3,013 ","3,476 ","4,172 "
E09000019,Islington,"1,341 ","1,565 ","1,789 ","2,012 ","2,459 ","2,906 ","3,354 ","4,024 "
E09000020,Kensington & Chelsea,"1,061 ","1,238 ","1,415 ","1,592 ","1,945 ","2,299 ","2,653 ","3,183 "
E09000021,Kingston-upon-Thames,"1,660 ","1,936 ","2,213 ","2,489 ","3,043 ","3,596 ","4,149 ","4,979 "
E09000022,Lambeth,"1,303 ","1,520 ","1,737 ","1,954 ","2,388 ","2,822 ","3,257 ","3,908 "
E09000023,Lewisham,"1,423 ","1,661 ","1,898 ","2,135 ","2,610 ","3,084 ","3,559 ","4,270 "
E09000024,Merton,"1,396 ","1,629 ","1,862 ","2,094 ","2,560 ","3,025 ","3,491 ","4,189 "
E09000025,Newham,"1,237 ","1,444 ","1,650 ","1,856 ","2,268 ","2,681 ","3,093 ","3,712 "
E09000026,Redbridge,"1,460 ","1,703 ","1,946 ","2,190 ","2,676 ","3,163 ","3,649 ","4,379 "
E09000027,Richmond-upon-Thames,"1,581 ","1,845 ","2,109 ","2,372 ","2,899 ","3,426 ","3,953 ","4,744 "
E09000028,Southwark,"1,252 ","1,461 ","1,669 ","1,878 ","2,295 ","2,713 ","3,130 ","3,756 "
E09000029,Sutton,"1,513 ","1,765 ","2,018 ","2,270 ","2,774 ","3,278 ","3,783 ","4,539 "
E09000030,Tower Hamlets,"1,170 ","1,365 ","1,560 ","1,755 ","2,144 ","2,534 ","2,924 ","3,509 "
E09000031,Waltham Forest,"1,518 ","1,772 ","2,025 ","2,278 ","2,784 ","3,290 ","3,796 ","4,555 "
E09000032,Wandsworth,665 ,776 ,887 ,998 ,"1,219 ","1,441 ","1,663 ","1,996 "
E09000033,Westminster,679 ,793 ,906 ,"1,019 ","1,245 ","1,472 ","1,698 ","2,038 "
,,,,,,,,,
,,,,,,,,,
